date_transaction,opening_price,close_price,low_price,high_price,turnover_volume,turnover_amount,focus,amplitude,amplitude_rate,opening_price_Standardization,closing_price_Standardization,low_price_Standardization,high_price_Standardization,turnover_rate,price_earnings,book_value_per_share,capitalization,turnover_volume_growth_rate,opening_price_growth_rate,closing_price_growth_rate,closing_minus_opening_price_growth_rate,high_price_proportion,low_price_proportion,sum_2_turnover_volume_growth_rate,sum_2_opening_price_growth_rate,sum_2_closing_price_growth_rate,sum_2_closing_minus_opening_price_growth_rate,sum_2_high_price_proportion,sum_2_low_price_proportion,sum_2_KLine_Intuitive_Momentum,sum_3_turnover_volume_growth_rate,sum_3_opening_price_growth_rate,sum_3_closing_price_growth_rate,sum_3_closing_minus_opening_price_growth_rate,sum_3_high_price_proportion,sum_3_low_price_proportion,sum_3_KLine_Intuitive_Momentum,sum_5_turnover_volume_growth_rate,sum_5_opening_price_growth_rate,sum_5_closing_price_growth_rate,sum_5_closing_minus_opening_price_growth_rate,sum_5_high_price_proportion,sum_5_low_price_proportion,sum_5_KLine_Intuitive_Momentum,sum_7_turnover_volume_growth_rate,sum_7_opening_price_growth_rate,sum_7_closing_price_growth_rate,sum_7_closing_minus_opening_price_growth_rate,sum_7_high_price_proportion,sum_7_low_price_proportion,sum_7_KLine_Intuitive_Momentum,sum_10_turnover_volume_growth_rate,sum_10_opening_price_growth_rate,sum_10_closing_price_growth_rate,sum_10_closing_minus_opening_price_growth_rate,sum_10_high_price_proportion,sum_10_low_price_proportion,sum_10_KLine_Intuitive_Momentum,average_5_closing_price,average_10_closing_price,average_20_closing_price,average_30_closing_price,Pdata_0,Plower,Pupper,weight
2019-01-02,9.81,9.83,9.74,9.86,1857150,18205940.0,9.81,0.05099019513592758,0.0051977772819498036,0.0,0.3922322702763618,-1.372812945967301,0.9805806756909045,,,,,0.0,0.0,0.0,0.0020387359836899765,0.9969574036511157,0.9928644240570845,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.1182088753483593,-inf,inf,0.9999856670521456
2019-01-03,9.83,9.8,9.78,10.02,3070121,30331588.0,9.857500000000002,0.11026483271348708,0.01118588209114756,-0.24939955308740935,-0.5214717928191067,-0.7028532859735876,1.4737246318800394,,,,,0.6531357187087743,0.0020387359836899765,-0.003051881993896166,-0.003051881993896166,0.9810379241516967,0.9979591836734693,0.32656785935438715,0.0010193679918449883,-0.001525940996948083,-0.001016257001025589,1.4795166259772545,1.4943913957020114,0.32656899758379365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.16267868922030598,-inf,inf,1.0
2019-01-04,9.72,10.03,9.64,10.05,4810534,47790676.0,9.86,0.21055482263138312,0.021354444485941492,-0.6649099662043639,0.8073906732481628,-1.044858518321147,0.9023778112773649,,,,,0.5668874288668102,-0.011190233977619424,0.02346938775510199,0.03189300411522611,0.998009950248756,0.9917695473251029,0.8934552882211974,-0.005085432992887218,0.010971723379076953,0.015183531559139013,1.4885289123246044,1.4907491391618375,0.8936536126999131,0.6682074942262175,-0.003277025551719813,0.007144933253057069,0.021036859185660475,1.9843543675669255,1.9880304777931106,0.6685284899682244,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.5604996277854842,-inf,inf,0.9999999602962596
2019-01-07,10.11,10.42,10.03,10.44,7521701,77164008.0,10.25,0.21055482263138361,0.020541933915256938,-0.6649099662043708,0.8073906732481609,-1.044858518321153,0.9023778112773544,,,,,0.5635896139596976,0.04012345679012341,0.038883349950149526,0.030662710187932873,0.9980842911877396,0.9920870425321464,0.8470333283931027,0.01726416990065685,0.05061804382770052,0.04660921224554593,1.4970892663121176,1.487971816194698,0.8540813976270869,1.1592264727738293,0.024715304972542394,0.03601397430304544,0.0342773772882895,1.9904368994041424,1.9859198019733715,1.1674548810480783,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,376751.3448468311,-inf,inf,0.9990218212123257
2019-01-08,10.35,10.27,10.19,10.45,5846752,60323520.0,10.314999999999998,0.11120551545074843,0.010780951570600916,0.31473259089836236,-0.40465618829785566,-1.1240449674940736,1.213968564893631,,,,,-0.2226822097820692,0.023738872403560762,-0.014395393474088358,-0.007729468599033784,0.9904306220095694,0.9922103213242454,0.029556298598889807,0.04380060079862247,0.0025231407504932024,0.0038009432474663263,1.4894727676034392,1.4882538425903187,0.029946604030326746,0.30223185380291145,0.032415203067137646,0.017698443876504107,0.018138715909453592,1.9884901328843143,1.9841915321207106,0.3058183434380841,0.5868186196263986,0.03264905126016696,0.011828866536613594,0.022864142131095073,2.9795106754999168,2.9786982420258292,0.5958441101375332,,,,,,,,,,,,,,,10.070000000000002,0.0,0.0,0.0,,,,0.9986712449887946
2019-01-09,10.3,10.35,10.22,10.56,8859692,92189232.0,10.3575,0.1452297031142963,0.014021694725010506,-0.39592451658974,-0.0516423282508383,-0.9467760179319948,1.3943428627725853,,,,,0.51531859056105,-0.004830917874396046,0.00778967867575453,0.004854368932038833,0.9801136363636362,0.9922330097087378,0.2019887428350077,0.0035192591636921677,0.00029599096935517544,0.0004948173162609704,1.475328947368421,1.4883381703708605,0.20199288815813465,0.4193029279690618,0.017856627730144636,0.010634887222961057,0.008332521863336797,1.9730954814325956,1.9844022381022834,0.4202324716743415,0.933054425815147,0.022360946930018864,0.019453789777511055,0.018887937503330895,2.966720273613777,2.977553147952157,0.9400311254398279,,,,,,,,,,,,,,,10.174,0.0,0.0,0.0,,,,0.9984131107944371
2019-01-10,10.33,10.31,10.26,10.41,4485025,46421748.0,10.3275,0.062383224240709766,0.006040496174360664,0.04007487638588683,-0.28052413470126475,-1.0820216624191723,1.3224709207345215,,,,,-0.49377190538903615,0.002912621359223211,-0.0038647342995168366,-0.0019361084220715918,0.9923150816522575,0.9951503394762365,-0.11805630505425557,0.000248581211012594,1.5052519180214219e-05,0.0002455380219739123,1.4823718998340756,1.4912668443306054,-0.11805616195668406,-0.2641509634195839,0.006143515245963189,-0.004044426154863186,-0.001929649985157717,1.9758677132312048,1.9873757863901433,-0.2641668689175682,0.19968842978033757,0.017482084072429134,0.010886588129422357,0.010886792193712917,2.9695000704737553,2.9794516665156534,0.20242092006686888,0.495371145298471,0.022234767842499805,0.010257903897892608,0.01679729822206008,3.9606343953210286,3.973277377816461,0.5039600640638663,,,,,,,,10.276,0.0,0.0,0.0,,,,0.998597695120789
2019-01-11,10.3,10.3,10.21,10.4,5026369,51713420.0,10.3025,0.07762087348129991,0.0075341784500169776,-0.03220783132003522,-0.03220783132003522,-1.191689758841532,1.2561054214816254,,,,,0.12070033054442275,-0.0029041626331074433,-0.0009699321047526022,0.0,0.9903846153846154,0.9912621359223301,-0.06309281107504766,-0.0007239259767479189,-0.0029022992545110204,-0.00048402710551789796,1.4865421562107441,1.4888373056604485,-0.0630889264515733,0.08525503929006269,-0.0023623965365544806,-0.0014987612389809363,0.00010912800976618325,1.9786325486073324,1.9854400321427337,0.08525338399390779,0.1319294813141727,0.009589117100998506,-0.0009117352822077997,0.0017617956878156352,2.9680939695659787,2.97802375036469,0.13206461077806486,0.5467174057502755,0.0150769124330134,0.0050033900109346975,0.008232218971345967,3.9600263093821053,3.9710718182963594,0.5493169246324369,,,,,,,,10.330000000000002,0.0,0.0,0.0,,,,0.9987428175806942
2019-01-14,10.29,10.13,10.09,10.3,4120405,41909508.0,10.2025,0.1081280105553905,0.010598187753530065,0.8092260234009868,-0.6705015622465409,-1.0404334586584352,0.9017089975039727,,,,,-0.18024223848268994,-0.000970873786407922,-0.01650485436893201,-0.015549076773566428,0.9990291262135921,0.9960513326752221,-0.05994603660523928,-0.0024229551029616436,-0.01698982042130831,-0.007774538386783214,1.4942214339058997,1.4916824006363871,-0.059609638475500534,-0.20306628673170737,-0.0016143635435171212,-0.018439720538606024,-0.010796297498393528,1.990057230354088,1.9886095364488543,-0.202209460490708,-0.19155001393953197,-0.0005378037070929449,-0.017359801167749128,-0.010565631813406577,2.9768574464600075,2.981486513247172,-0.18987166879853146,0.09637482718728806,0.005696733094822869,-0.006903454968332617,-0.0017801990879496195,3.9690017040245165,3.9738843538341144,0.09640870943934018,,,,,,,,10.272000000000002,0.0,0.0,0.0,,,,0.9992441677378664
2019-01-15,10.12,10.45,10.03,10.45,7324932,75441936.0,10.2625,0.2196019125599775,0.02139848112642899,-0.6489014523545217,0.8538177004664754,-1.0587339485784293,0.8538177004664754,,,,,0.7777213647687544,-0.016520894071914483,0.03158933859822288,0.032608695652173836,1.0,0.991106719367589,0.34380012276370475,-0.017006330965118444,0.011668455706878439,0.012417078632695311,1.499514563106796,1.4891323857052,0.34365211931046724,0.5052493747484436,-0.01813619747388891,0.002978748234381711,0.007414214823265406,1.9961476226039332,1.9855616531251803,0.5048039572028584,0.4352421475478642,-0.015772009695889738,0.004059867846667176,0.008146345860359928,2.986402830135273,2.979211804793407,0.4343932623969896,0.4514830602231776,-0.006207861447752728,0.005257535203275987,0.009611562552337576,3.9763778007302064,3.9720248262068427,0.45133879345114614,0.8400013649266254,-0.000840655325635915,0.01047106996344336,0.020849265683771146,5.463877982624645,5.461856791984675,0.8459934373092498,10.308000000000002,10.189,0.0,0.0,,,,0.9989585576938824
2019-01-16,10.68,10.52,10.51,11.2,17794002,191833936.0,10.7275,0.3244867742553871,0.03024812624147165,-0.14638501094227832,-0.639471363589959,-0.6702892606304384,1.4561456351626811,,,,,1.4292378413888347,0.055335968379446765,0.006698564593301537,-0.014981273408239737,0.9535714285714286,0.9990494296577948,1.818098523773212,0.023537760671744762,0.022493233892412978,0.0006615372089235905,1.4535714285714287,1.4946027893415892,1.8181646794019748,1.278452252102815,0.010886953475318503,0.01667154306486319,-0.006196489188024845,1.9532478039759593,1.9918043534612613,1.2777878894063983,1.1770571495859958,0.013390854310944975,0.00614971479485377,-0.009601373389728532,2.9476057667838815,2.985100527021179,1.1754063326104573,1.16167548921324,0.01547862585373632,0.006253910953808858,-0.0076303376083427365,3.9370410331857197,3.978202698577994,1.1590782555294334,1.8145142313424176,0.028244038761032264,0.01655883453421858,0.0029513820132908986,5.424813146109775,5.467636816036254,1.8184363049154304,10.341999999999999,10.258,0.0,0.0,,,,0.9952032594080775
2019-01-17,10.44,10.45,10.41,10.81,10733807,113755840.0,10.5275,0.1890987396397276,0.017962359500330333,-0.46272122260944754,-0.4098387971683692,-0.6213684989326826,1.4939285187104994,,,,,-0.39677386795842784,-0.022471910112359605,-0.0066539923954372915,0.0009578544061301653,0.9666975023126734,0.9971264367816093,0.15892252636799475,0.0025980370386818885,-0.0016523550493932615,-0.0032663911489948516,1.4434832165983877,1.4966511516105068,0.15891585299144545,0.675785832357507,-0.00635570133989923,0.00777899537592667,0.004555774547183243,1.9357451213602923,1.9935282963426688,0.6758108546692964,0.7929495895081214,-0.017829147936642878,0.0016550295950536146,0.0009273689445664414,2.927243218732176,2.9877029723829533,0.7928184089747349,0.8144494754332838,-0.012469216415039688,0.002547689001055353,0.0011416324682431759,3.917189319756236,3.9814629513407236,0.8142728219973322,1.0792136493666096,0.0018647390314257065,0.009749662169932713,0.0080924426350337,5.4032129808441205,5.470875346651576,1.0819919891627077,10.37,10.323,0.0,0.0,,,,0.9971523806737294
2019-01-18,10.45,10.46,10.24,10.54,8971302,93128208.0,10.4225,0.12816005617976264,0.012296479364812919,0.2145754365262388,0.29260286799033824,-1.424000624219586,0.9168223197030229,,,,,-0.16420129409817041,0.0009578544061301653,0.000956937799043267,0.000956937799043267,0.9924098671726757,0.9799043062200958,-0.36258822807738433,-0.005139050325024819,-0.0011850291993376894,0.0014358650021083497,1.4757586183290123,1.4784675246109005,-0.3626080405212999,-0.12700726611487767,0.007941693663439478,0.0006478634655542326,-0.0006009143321621638,1.9547320115716007,1.9776717406271003,-0.1270272198759624,0.15685119859945063,-0.0012042621120417474,0.007117421280533511,0.004020587991027309,2.93771655140839,2.9726880677221406,0.15705881820925852,0.27014739657601317,0.0004152734275324023,0.0024219135082518173,0.0011871898686618147,3.92644041685774,3.9667987713337456,0.2701998588745752,0.543805804911647,0.009939285955460144,0.006926060422964175,0.005129916957996701,5.408759222622368,5.4569750213945705,0.546359418699596,10.402,10.366,0.0,0.0,,,,0.9979741465314143
2019-01-21,10.47,10.54,10.4,10.62,5971205,62823084.0,10.507499999999999,0.09429563439877027,0.008974126519035954,-0.3976854309226315,0.34466070679964034,-1.140031568644922,1.1930562927679698,,,,,-0.3344104345166399,0.001913875598086312,0.007648183556405286,0.006685768863419206,0.992467043314501,0.9933142311365807,-0.4165110815657251,0.0023928028011513947,0.00812665245592692,0.007164237762940839,1.4886719769008387,1.4832663842466287,-0.41634467080390913,-0.5761359199015628,-0.0007952487665912303,0.0047847622376852765,0.007643012198158106,1.976306122200509,1.9789592475438478,-0.5760166651874804,-0.13140571053842576,0.008173797932142027,0.0131303427946316,0.01043971482875417,2.947842009868817,2.9733546539182587,-0.1294562988066207,0.037361405701346745,0.001110037050809337,0.010645223162621965,0.008950672998801671,3.9339920856997774,3.967305759598772,0.039003571839967915,0.011298300020567476,0.007127723011488354,0.008573704052479586,0.006578610128956818,5.414922648850052,5.457671145164551,0.014350921081384404,10.483999999999998,10.378,0.0,0.0,,,,0.9973196257301112
2019-01-22,10.49,10.28,10.22,10.49,5455360,56364632.0,10.370000000000001,0.14071247279470292,0.013569187347608766,0.852802865422436,-0.6396021490668428,-1.0660035817780544,0.852802865422436,,,,,-0.08638876072752488,0.0019102196752625034,-0.024667931688804545,-0.020019065776930467,1.0,0.9941634241245138,-0.2535939779858448,0.0028671574743056594,-0.010421919955300951,-0.008338090672610432,1.4962335216572504,1.490820539692804,-0.2534534663867084,-0.3640628151046749,0.0035054215426967663,-0.004610798360300662,-0.003488916253225338,1.9924479846005592,1.983007680288933,-0.36404757765494933,-0.43174843193093476,0.010268828369650438,-0.006112357992865488,-0.005422576463863332,2.966812841594561,2.9754178534100384,-0.4319473931755752,-0.29206791954266953,0.008385856465272654,-0.002277477389325414,-0.0029813597528979014,3.9490550024184223,3.9689242420431112,-0.29235335397213635,-0.04672916449284786,0.006224811165706521,-0.0043749516209227075,-0.002124360376339173,5.429180756550556,5.45909374306202,-0.04684563656450749,10.45,10.379,0.0,0.0,,,,0.998332841531397
2019-01-23,10.21,10.26,10.19,10.3,3723530,38083692.0,10.239999999999998,0.04966554808583805,0.004850151180257623,-0.6040404496925702,0.40269363312843975,-1.0067340828210098,1.2080808993852834,,,,,-0.31745476008916007,-0.026692087702573808,-0.0019455252918287869,0.004897159647404337,0.9961165048543689,0.9980411361410381,-0.3606491404529225,-0.012868488932471278,-0.01427949113623106,-0.0025561866205304484,1.4961165048543688,1.495122848203295,-0.3604939116274686,-0.48651741207972327,-0.007623070356722088,-0.011410743883309512,0.00030181822860038876,1.9936055192925357,1.9919214959362408,-0.48654022509745526,-0.7322473206121176,-0.010638802173109979,-0.011817727371791738,0.004383323048730485,2.9819001781746746,2.980747423966958,-0.7331222326624093,-0.4903281651859046,-0.0055144390465172825,-0.00401110583742286,0.004794713808616211,3.9588607976178096,3.974005966760806,-0.4910467057052636,-0.4684773969460705,-0.007887821732578553,-0.01109321683020046,0.0001204591399550604,5.438598431306388,5.464198742695987,-0.468545344403423,10.398,10.370000000000001,0.0,0.0,,,,0.9990710069038473
2019-01-24,10.27,10.38,10.19,10.51,6459234,67102880.0,10.337499999999999,0.138894444333338,0.013435980104796906,-0.4859805611663143,0.3059877607343664,-1.0619575225486217,1.241950322980608,,,,,0.7347071193195704,0.005876591576885248,0.011695906432748648,0.0107108081791627,0.9876308277830639,0.9922103213242454,0.2879898696374952,-0.003734726137200828,0.0053615718934171275,0.013159388002864869,1.4856890802102483,1.4912308893947643,0.2880372998306614,0.0846138662385579,-0.001589354065923458,-0.002447805027408699,0.007092713543073675,1.9850418310193096,1.9889588867931085,0.08450081280590534,-0.23097977384339238,0.002113141569590837,0.0024250687503733466,0.011593096908578349,2.979992822426895,2.9804478384104356,-0.23051248993161524,-0.23791741324491633,0.0035218096763905042,0.0008810498780318773,0.009169139988211741,3.960597004511495,3.972972619023734,-0.23728217057532014,0.06759722636892956,-0.004623056499725213,0.0007848733113879668,0.010845119984751878,5.43793014214184,5.462892114869931,0.0663606631967146,10.384,10.376999999999999,0.0,0.0,,,,0.9985374318812821
2019-01-25,10.35,10.51,10.33,10.7,8787391,92835800.0,10.4725,0.17173137938846986,0.016398317439815693,-0.713323333430496,0.21836428574402644,-0.8297842858273088,1.324743333513768,,,,,0.360438559742533,0.00778967867575453,0.012524084778420042,0.015458937198067568,0.9822429906542056,0.9980676328502416,0.7277921194023182,0.010727974464197154,0.018372037994794366,0.02081434128764892,1.4760584045457374,1.4941727935123643,0.7291279771466422,0.5315561195160354,0.004839150073277151,0.013331401012187338,0.024231862533310812,1.9727023774610377,1.9922215591134178,0.5332865497686627,0.20413543373057538,0.007707201417279139,0.009632472841292374,0.021040901379864904,2.9685109644561782,2.9869887874713825,0.2073704578659198,-0.09068485198107414,0.0043584260254154105,0.007870404008602859,0.025291371482652023,3.9587123988787423,3.977638925390279,-0.08581476634667076,0.1780462653774363,0.0060888046060209085,0.01261270809505847,0.022269051648284254,5.432342441235354,5.467736800385071,0.1904163650467119,10.394,10.398,0.0,0.0,,,,0.9976001725988296
2019-01-28,10.79,10.51,10.37,10.79,5626253,59417140.0,10.614999999999998,0.20999999999999988,0.01978332548280734,0.8333333333333371,-0.49999999999999384,-1.1666666666666636,0.8333333333333371,,,,,-0.35973567125896644,0.04251207729468587,0.0,-0.025949953660797,1.0,0.9866793529971455,-0.08975819569384996,0.04640691663256313,0.0031310211946050104,-0.009110242530881607,1.4911214953271028,1.4857131694222663,-0.09075800198781729,0.20355127375915258,0.0496640602708173,0.008165350219908605,0.0006008337964671859,1.9840389363638251,1.982794548672055,0.20368796195952518,-0.010727148709773787,0.039986088276972614,0.00453000609115712,0.00046999238847480855,2.9768194911349504,2.978508791353204,-0.010541642152384359,-0.25976432678185823,0.044868625774872925,0.008896685520755341,0.008524696838486712,3.9704888651513865,3.9710572085905205,-0.252537773084916,-0.08111105143437444,0.03932078933503036,0.012152701742989484,0.010941216706629179,5.445325912147704,5.460512656354324,-0.06436522673850616,10.388,10.436,0.0,0.0,,,,0.9963614747580308
2019-01-29,10.41,10.22,10.02,10.48,6387800,65272236.0,10.2825,0.2066196183005544,0.020094297913985353,0.6170759633024518,-0.3024882173051246,-1.2704505126815286,0.9558627666841928,,,,,0.13535598203635701,-0.03521779425393878,-0.027592768791626976,-0.018251681075888482,0.9933206106870228,0.9804305283757337,-0.022255926796563102,-0.006980877803297925,-0.013796384395813488,-0.03122665790628698,1.493320610687023,1.4737702048743064,-0.02082803053249502,0.09039351879836392,0.008886031529826241,-0.0078060246218289876,-0.02198344043338348,1.987401607571758,1.9709059746572446,0.09030052077087683,0.2467893837558209,0.008397978685391888,-0.0063156241639365,-0.00688118708981854,2.9769420371636457,2.9651069462415007,0.24666290174044164,0.052932130521723755,0.019655225433563572,-0.008036913527448012,-0.008253840757124561,3.970828442441436,3.9597191077099883,0.0514243274616031,-0.05951496670968609,0.02258525922301656,-0.0058586325424529245,-0.005672137216787651,5.451532906368434,5.447976885669972,-0.062332759066283744,10.376,10.413,10.300999999999998,0.0,,,,0.9988532199348178
2019-01-30,10.2,10.06,10.04,10.33,3681983,37517008.0,10.157499999999999,0.1352466881911224,0.013314958227036417,0.3142405967083054,-0.720904898330799,-0.8687828261935394,1.2754471278160593,,,,,-0.4235913773130029,-0.02017291066282434,-0.015655577299412915,-0.013725490196078272,0.9874152952565343,0.9980119284294233,-0.1779566931474122,-0.03778180778979373,-0.029451961695226403,-0.022851330734022512,1.4840756006000457,1.4882271926172903,-0.17456337783045509,-0.3322564047025818,-0.024377395966446145,-0.0227005043292206,-0.034543262133602926,1.9829623690478828,1.9805253983456277,-0.3258697222733917,-0.016132131993345344,-0.001459796728895917,-0.012152390853918699,-0.02300778974593652,2.9724951456244475,2.9720330803332438,-0.01336533294055913,-0.17482511522705782,-0.0033605625382895753,-0.021315314849971533,-0.022655957750234202,3.9651325980846615,3.965887232289483,-0.16603381511445112,-0.5097670080650933,-0.0002739361701578815,-0.018689103553919187,-0.01037430230393837,5.452502524089974,5.454090134138496,-0.5039166150761473,10.336,10.367,10.312499999999998,0.0,,,,0.9994284295354343
