date_transaction,opening_price,close_price,low_price,high_price,turnover_volume,turnover_amount,focus,amplitude,amplitude_rate,opening_price_Standardization,closing_price_Standardization,low_price_Standardization,high_price_Standardization,turnover_rate,price_earnings,book_value_per_share,capitalization,turnover_volume_growth_rate,opening_price_growth_rate,closing_price_growth_rate,closing_minus_opening_price_growth_rate,high_price_proportion,low_price_proportion,sum_2_turnover_volume_growth_rate,sum_2_opening_price_growth_rate,sum_2_closing_price_growth_rate,sum_2_closing_minus_opening_price_growth_rate,sum_2_high_price_proportion,sum_2_low_price_proportion,sum_2_KLine_Intuitive_Momentum,sum_3_turnover_volume_growth_rate,sum_3_opening_price_growth_rate,sum_3_closing_price_growth_rate,sum_3_closing_minus_opening_price_growth_rate,sum_3_high_price_proportion,sum_3_low_price_proportion,sum_3_KLine_Intuitive_Momentum,sum_5_turnover_volume_growth_rate,sum_5_opening_price_growth_rate,sum_5_closing_price_growth_rate,sum_5_closing_minus_opening_price_growth_rate,sum_5_high_price_proportion,sum_5_low_price_proportion,sum_5_KLine_Intuitive_Momentum,sum_7_turnover_volume_growth_rate,sum_7_opening_price_growth_rate,sum_7_closing_price_growth_rate,sum_7_closing_minus_opening_price_growth_rate,sum_7_high_price_proportion,sum_7_low_price_proportion,sum_7_KLine_Intuitive_Momentum,sum_10_turnover_volume_growth_rate,sum_10_opening_price_growth_rate,sum_10_closing_price_growth_rate,sum_10_closing_minus_opening_price_growth_rate,sum_10_high_price_proportion,sum_10_low_price_proportion,sum_10_KLine_Intuitive_Momentum,average_5_closing_price,average_10_closing_price,average_20_closing_price,average_30_closing_price,Pdata_0,Plower,Pupper,weight
2019-01-02,8.04,8.07,7.96,8.07,3994659,32114240.0,8.035,0.051961524227066444,0.006466897850288294,0.09622504486491826,0.6735753140545645,-1.4433756729740643,0.6735753140545645,,,,,0.0,0.0,0.0,0.003731343283582156,1.0,0.9900497512437811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.09670029956811861,-inf,inf,0.9999848533490608
2019-01-03,8.07,8.08,8.04,8.11,3279816,26484664.0,8.075,0.02886751345948139,0.0035749242674280365,-0.17320508075685265,0.17320508075691418,-1.2124355652982146,1.2124355652982146,,,,,-0.17894969257701343,0.003731343283582156,0.0012391573729864103,0.0012391573729864103,0.996300863131936,0.9962825278810408,-0.08947484628850672,0.001865671641791078,0.0006195786864932051,0.003104829014777488,1.4963008631319359,1.4913074035029315,-0.0894576278434773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.13215549698299767,-inf,inf,1.0
2019-01-04,8.03,8.11,7.99,8.15,7768588,62630596.0,8.07,0.07302967433402222,0.009049525939779705,-0.5477225575051783,0.547722557505154,-1.0954451150103321,1.0954451150103321,,,,,1.3686048241730635,-0.004956629491945641,0.003712871287128605,0.00996264009962644,0.9950920245398772,0.9950186799501869,0.6395649889422784,-0.0015454789250772816,0.00433244997362181,0.010582218786119646,1.4932424561058453,1.4931599438907073,0.6396307465270813,0.4164350097072404,-0.0008230224342969568,0.0030259841349685856,0.012032526109478098,1.992625933294501,1.989223615618808,0.41654007835531837,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.44051109081064665,-inf,inf,0.9999997633318147
2019-01-07,8.14,8.18,8.1,8.19,4748576,38701248.0,8.1525,0.0411298755975101,0.005045062937443741,-0.303915336927399,0.6686137412403124,-1.2764444150951537,0.9117460107822403,,,,,-0.3887465778851962,0.013698630136986356,0.008631319358816336,0.004914004914004844,0.9987789987789988,0.9950859950859949,0.1477779171006678,0.005610157695506768,0.010487755002380639,0.009895324963818064,1.4963250110489374,1.4925953350610883,0.1481336857246376,0.005203421764547023,0.008860134267243462,0.011519619341230875,0.011968817438084606,1.9942739695162288,1.9905259576797998,0.006171705947806735,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,247099.5566777973,-inf,inf,0.9999431420782292
2019-01-08,8.14,8.2,8.14,8.2,3436371,28088618.0,8.17,0.034641016151376804,0.0042400264567168675,-0.8660254037844387,0.8660254037844387,-0.8660254037844387,0.8660254037844387,,,,,-0.2763365269925131,0.0,0.0024449877750609694,0.007371007371007154,1.0,1.0,-0.4707098159351112,0.003424657534246589,0.0067606474544691375,0.009828009828009576,1.4993894993894994,1.4975429975429975,-0.4704850485019796,-0.20493340548031105,0.00249340342022523,0.009436824443314729,0.013967890680219197,1.9975500073659582,1.9950635567073922,-0.20426930474368923,-0.23111562089811763,0.004385781030175302,0.009658743186868613,0.01852172696789789,2.9945987589999,2.9896029654400804,-0.22878677546503765,,,,,,,,,,,,,,,8.128,0.0,0.0,0.0,,,,0.9999145664246568
2019-01-09,8.22,8.23,8.16,8.28,6308196,51948552.0,8.2225,0.04924428900898022,0.005988967954877497,-0.05076730825667116,0.15230192477004956,-1.2691827064170316,1.1676480899036532,,,,,0.835714479024529,0.00982800982800991,0.003658536585366079,0.0012165450121655041,0.9939613526570049,0.9927007299270072,0.3487731077641362,0.004914004914004955,0.004881030472896564,0.004902048697669081,1.493961352657005,1.4927007299270072,0.3488801846516285,0.06936713037034914,0.009596146582448018,0.008165634888345503,0.0077685515641718874,1.9935543522500043,1.9910627282890054,0.06991482640754516,0.2591982993731833,0.01087954358079524,0.01252629841015338,0.014294641371821994,2.9905257343667424,2.987016304534887,0.26218700175833476,,,,,,,,,,,,,,,8.16,0.0,0.0,0.0,,,,0.9997940606957917
2019-01-10,8.26,8.18,8.12,8.26,3683130,30141798.0,8.204999999999998,0.0680685928555407,0.008295989379103074,0.8080084763427654,-0.36727658015577164,-1.2487403725296808,0.8080084763427654,,,,,-0.41613577003631463,0.0048661800486617945,-0.0060753341433780195,-0.009685230024213065,1.0,0.9926650366748165,0.000860734737974933,0.00978018496266675,-0.00212303292534749,-0.0045384787590651565,1.4969806763285025,1.4890154016383201,0.0007832719788784097,-0.15311763512820623,0.0076121244004456,0.0001442354957169106,-0.0010497216979958746,1.9959742351046699,1.9877988566261546,-0.15314993936565544,-0.06554477120984614,0.010726558799840734,0.005656072318749757,0.005546130329448525,2.993699086545179,2.9838637546408577,-0.0647331360406064,-0.13448718763905285,0.012373147290191226,0.007531928227489396,0.010850016720518435,3.9909659872773613,3.9789820662123088,-0.13105758152025346,,,,,,,,8.18,0.0,0.0,0.0,,,,0.9998400250851652
2019-01-11,8.18,8.24,8.13,8.25,4033234,33084230.0,8.200000000000001,0.05597618541248864,0.006826364074693735,-0.3572948005052739,0.7145896010104843,-1.2505318017683793,0.8932370012631053,,,,,0.09505610716971713,-0.009685230024213065,0.007334963325183352,0.007334963325183352,0.9987878787878788,0.9938875305623474,-0.05650588892422009,-0.003626069999941084,0.0021486481267471713,0.00124617415653841,1.4987878787878788,1.4902200488997557,-0.05651000112053022,0.1566104512216368,0.001118338864225311,0.004352909426119582,0.003008045547444999,1.9967749963402137,1.986564464987894,0.15667573460055179,-0.07412160760808392,0.005580639573036978,0.008815421943612041,0.008047238607075098,2.994920490137882,2.9826571968756044,-0.07308675330121092,0.06028824006710628,0.006882402330601646,0.013212355246980289,0.013852986136062902,3.9920205461926948,3.9783263509513955,0.06470922815856994,,,,,,,,8.206,0.0,0.0,0.0,,,,0.9998520933059654
2019-01-14,8.22,8.14,8.08,8.26,5977796,48712508.0,8.174999999999999,0.08062257748298543,0.009862088988744397,0.5581563056514597,-0.43412157106220967,-1.1783299785974672,1.0542952440082833,,,,,0.4821346839781675,0.004889975550122383,-0.012135922330097082,-0.009732360097323589,0.9951573849878935,0.9926289926289926,0.5296627375630261,2.3680269007925192e-05,-0.004234220333752703,-0.0030324392173659565,1.494551324381833,1.4895727579101663,0.5296911626932882,0.3174329736123954,0.0021890837055146394,-0.007810697290774647,-0.007010521553555662,1.9943493041798126,1.9861090252288296,0.3175890781868888,0.41349970982613515,0.0054948957024399635,-0.001620219416866373,-0.0015201251612119828,2.9917722290809987,2.9804183310545636,0.4134471903331698,0.4809270188522061,0.007651920315229876,0.004165627429742933,0.004505975889743625,3.989617771481203,3.97586384356876,0.4817716732005772,,,,,,,,8.198,0.0,0.0,0.0,,,,0.9999053371954887
2019-01-15,8.2,8.1,7.97,8.2,7876373,63609748.0,8.1175,0.10904891868637037,0.013433805812919048,0.7565412018185463,-0.16047843674939008,-1.3526039668877108,0.7565412018185463,,,,,0.3176048496803838,-0.0024330900243311193,-0.004914004914005066,-0.012195121951219523,1.0,0.9839506172839506,0.5586721916694676,5.948875365036077e-06,-0.010981966079053607,-0.017061301999881318,1.4975786924939467,1.4802651135984468,0.5590873235681183,0.6707133413890678,-0.002687672121574231,-0.007854750608803928,-0.011640578752380903,1.9963675495878885,1.9769991225573946,0.6711976943716251,0.708700463972818,0.0013967414395551808,-0.008178651736387073,-0.012455346424240926,2.994190905794443,2.9699924903798816,0.7094516416794409,0.5015505298401839,0.004837415752710691,-0.003058323054950551,-0.006277161586617586,3.9922209658023955,3.9652448944485186,0.5013737444093633,0.6214897939551092,0.006464436451359581,0.002433163588458411,0.0027809606892484785,5.488348140613561,5.457714181448537,0.622230967944129,8.178,8.153,0.0,0.0,,,,0.9999829008677814
